設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 52）,Firefox 45→52での変更,設定内容（Firefox 45）,Firefox 38→45での変更,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Privacy-27,1,プライバシー,Pocket（リーディングリスト機能）の利用の可否,-,許可する,-,-,,-,,-,,
Privacy-27,2,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.reader.detectedFirstArticle"", true);
lockPref(""browser.pocket.enabled"", false);
lockPref(""browser.pocket.api"", """");
lockPref(""browser.pocket.site"", """");
lockPref(""browser.pocket.useLocaleList"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #menu_pocket,
  #menu_pocketSeparator,
  #BMB_pocket,
  #BMB_pocketSeparator,
  #panelMenu_pocket,
  #panelMenu_pocketSeparator,
  #pocket-button,
  #wrapper-pocket-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",○,"MCD:
lockPref(""browser.readinglist.enabled"", false);
lockPref(""browser.readinglist.sidebarEverOpened"", false);
lockPref(""readinglist.scheduler.enabled"", false);
lockPref(""readinglist.server"", """");
lockPref(""browser.reader.detectedFirstArticle"", true);
lockPref(""browser.pocket.enabled"", false);
lockPref(""browser.pocket.api"", """");
lockPref(""browser.pocket.site"", """");
lockPref(""browser.pocket.useLocaleList"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #menu_pocket,
  #menu_pocketSeparator,
  #BMB_pocket,
  #BMB_pocketSeparator,
  #panelMenu_pocket,
  #panelMenu_pocketSeparator,
  #pocket-button,
  #wrapper-pocket-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",○,"MCD:
lockPref(""browser.readinglist.enabled"", false);
lockPref(""browser.readinglist.sidebarEverOpened"", false);
lockPref(""readinglist.scheduler.enabled"", false);
lockPref(""readinglist.server"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #pocket-button,
  #wrapper-pocket-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",,
Privacy-28（廃止）,1,プライバシー,その他、プライバシー情報に関わる一切の機能の利用の可否,-,許可する（既定）,MCDで設定を反映する,Security-15に統合,○,-,,-,,
Privacy-28（廃止）,2,,,,禁止する,MCDで設定を反映する,Security-15に統合,○,"// プッシュ通知受信用のエンドポイントURL
lockPref(""services.push.serverURL"", """");

その他はSecurity-15を参照",○,"// トラッキングプロテクション機能の通信を無効化する
lockPref(""browser.trackingprotection.gethashURL"", """");
lockPref(""browser.trackingprotection.updateURL"", """");
// about:homeの「Marketplace」ボタンからの遷移先URL
lockPref(""browser.apps.URL"", """");
// Firefox Developer Editionへの誘導用URL
lockPref(""devtools.devedition.promo.url"", """");
// ツールバーカスタマイズにおける、「その他のテーマを入手」の遷移先URL。
lockPref(""lightweightThemes.getMoreURL"", """");
// ツールバーカスタマイズにおける、テーマの「おすすめ」の取得用URL。
lockPref(""lightweightThemes.recommendedThemes"", """");
// WebIDEの追加コンポーネント「Tools Adapters Add-on」の取得用URL。
lockPref(""devtools.webide.adaptersAddonURL"", """");
// プッシュ通知受信用のエンドポイントURL。
lockPref(""services.push.serverURL"", """");",,
Privacy-29,1,プライバシー,履歴・ブックマーク用データベースの自動最適化,-,1週間に1回、最低限の最適化のみ行う（既定）,-,-,,-,,-,,
Privacy-29,2,,,,1週間に1回、VACUUMも含めて行う（,アドオン「Places Auto Vacuum On Idle」を導入する。,-,,-,,-,,
Privacy-30,1,プライバシー,ディスクキャッシュの最大サイズ制限,-,制限しない（既定）,MCDで設定を反映する,"lockPref(""browser.cache.disk.smart_size.enabled"", true);",,"lockPref(""browser.cache.disk.smart_size.enabled"", true);",,"lockPref(""browser.cache.disk.smart_size.enabled"", true);",,
Privacy-30,2,,,,制限する,MCDで設定を反映する,"lockPref(""browser.cache.disk.smart_size.enabled"", false);
lockPref(""browser.cache.disk.capacity"", サイズ（KB）);",,"lockPref(""browser.cache.disk.smart_size.enabled"", false);
lockPref(""browser.cache.disk.capacity"", サイズ（KB）);",,"lockPref(""browser.cache.disk.smart_size.enabled"", false);
lockPref(""browser.cache.disk.capacity"", サイズ（KB）);",,
Privacy-31,1,プライバシー,Firefoxのユーザー評価の送信の可否,-,許可する（規定）,-,-,,-,,-,-,
Privacy-31,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.selfsupport.url"", """");",,"lockPref(""browser.selfsupport.url"", """");",,"lockPref(""browser.selfsupport.url"", """");","lockPref(""browser.selfsupport.url"", """");",
Privacy-32,1,プライバシー,リンクのhoverによるリンク先の先読みの可否,-,許可する（既定）,MCDで設定を反映する,"defaultPref(""network.http.speculative-parallel-limit"", 6);",,"defaultPref(""network.http.speculative-parallel-limit"", 6);",,"defaultPref(""network.http.speculative-parallel-limit"", 6);",,
Privacy-32,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.http.speculative-parallel-limit"", 0);",,"lockPref(""network.http.speculative-parallel-limit"", 0);",,"lockPref(""network.http.speculative-parallel-limit"", 0);",,
Privacy-33,1,プライバシー,Webサービスによる行動履歴の収集（トラッキング）の遮断の可否,-,ブロックリストを取得して、プライベートブラウジング時のみトラッキングを遮断する（既定）,-,-,,-,新規,,,
Privacy-33,2,,,,ブロックリストを取得して、トラッキングを常に遮断する,MCDで設定を反映する,"lockPref(""privacy.trackingprotection.enabled"", true);
lockPref(""privacy.trackingprotection.pbmode.enabled"", true);",,"lockPref(""privacy.trackingprotection.enabled"", true);
lockPref(""privacy.trackingprotection.pbmode.enabled"", true);",新規,,,
Privacy-33,3,,,,ブロックリストを取得せず、トラッキングを遮断しない,"1. MCDで設定を反映する
2.アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","Security-5-2も併せて設定する。

MCD:
lockPref(""privacy.trackingprotection.enabled"", false);
lockPref(""privacy.trackingprotection.pbmode.enabled"", false);
lockPref(""browser.trackingprotection.gethashURL"", """");
lockPref(""browser.trackingprotection.updateURL"", """");
lockPref(""privacy.trackingprotection.introURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #trackingprotectionpbmbox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",○,"MCD:
lockPref(""privacy.trackingprotection.enabled"", false);
lockPref(""privacy.trackingprotection.pbmode.enabled"", false);
lockPref(""browser.trackingprotection.gethashURL"", """");
lockPref(""browser.trackingprotection.updateURL"", """");
lockPref(""privacy.trackingprotection.introURL"", """");
lockPref(""browser.safebrowsing.provider.google.gethashURL"", """");
lockPref(""browser.safebrowsing.provider.google.lists"", """");
lockPref(""browser.safebrowsing.provider.google.updateURL"", """");
lockPref(""browser.safebrowsing.provider.google.reportURL"", """");
lockPref(""browser.safebrowsing.provider.mozilla.gethashURL"", """");
lockPref(""browser.safebrowsing.provider.mozilla.lists"", """");
lockPref(""browser.safebrowsing.provider.mozilla.updateURL"", """");
lockPref(""browser.safebrowsing.provider.mozilla.reportURL"", """");
lockPref(""browser.safebrowsing.reportMalwareMistakeURL"", """");
lockPref(""browser.safebrowsing.reportPhishMistakeURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #trackingprotectionpbmbox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",新規,,,
Privacy-34,1,プライバシー,フォームへのユーザー入力値のセッション情報への保存の可否,-,許可する（既定）,,"lockPref(""browser.sessionstore.privacy_level"", 0);",,"lockPref(""browser.sessionstore.privacy_level"", 0);",新規,,,
Privacy-34,2,,,,一切禁止する,,"lockPref(""browser.sessionstore.privacy_level"", 2);",,"lockPref(""browser.sessionstore.privacy_level"", 2);",新規,,,
Privacy-35,1,プライバシー,トラッキングの遮断に使用するブロックリストの指定,-,簡易ブロックを初期設定とし、変更を許可（既定）,MCDで設定を反映する,"defaultPref(""urlclassifier.trackingTable"", ""test-track-simple,mozstd-track-digest256"");",,"defaultPref(""urlclassifier.trackingTable"", ""test-track-simple,mozstd-track-digest256"");",新規,,,
Privacy-35,2,,,,広範ブロックを初期設定とし、変更を許可,MCDで設定を反映する,"defaultPref(""urlclassifier.trackingTable"", ""test-track-simple,mozfull-track-digest256"");",,"defaultPref(""urlclassifier.trackingTable"", ""test-track-simple,mozfull-track-digest256"");",新規,,,
Privacy-35,3,,,,簡易ブロックで固定,MCDで設定を反映する,"lockPref(""urlclassifier.trackingTable"", ""test-track-simple,mozstd-track-digest256"");
lockPref(“pref.privacy.disable_button.change_blocklist”, true);",,"lockPref(""urlclassifier.trackingTable"", ""test-track-simple,mozstd-track-digest256"");
lockPref(“pref.privacy.disable_button.change_blocklist”, true);",新規,,,
Privacy-35,4,,,,広範ブロックで固定,MCDで設定を反映する,"lockPref(""urlclassifier.trackingTable"", ""test-track-simple,mozfull-track-digest256"");
lockPref(“pref.privacy.disable_button.change_blocklist”, true);",,"lockPref(""urlclassifier.trackingTable"", ""test-track-simple,mozfull-track-digest256"");
lockPref(“pref.privacy.disable_button.change_blocklist”, true);",新規,,,
Privacy-36,1,プライバシー,TLS/SSLで保護された通信のコンテンツのディスク上へのキャッシュ,-,許可する（既定）,-,-,,-,新規,,,
Privacy-36,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.cache.disk_cache_ssl"", false)",,"lockPref(""browser.cache.disk_cache_ssl"", false)",新規,,,
Privacy-37,1,プライバシー,ネットワーク経由での先読み機能の全般的な制御,-,先読みを許可する（既定）,-,-,,-,新規,,,
Privacy-37,2,,,,先読みを禁止する,MCDで設定を反映する,"lockPref(""network.predictor.enabled"", false);",,"lockPref(""network.predictor.enabled"", false);",新規,,,
Privacy-38,1,プライバシー,Webビーコンの送信,-,許可する（既定）,-,-,,-,新規,,,
Privacy-38,2,,,,禁止する,MCDで設定を反映する,"lockPref(""beacon.enabled"", false); ",,"lockPref(""beacon.enabled"", false); ",新規,,,
Startup-1,1,起動時の挙動の制御,初回起動時の設定移行ウィザード,-,表示する（既定）,-,-,,-,,-,,
Startup-1,2,,,,表示しない,override.iniに設定を反映する,"[XRE]
EnableProfileMigrator=0",,"[XRE]
EnableProfileMigrator=0",,"[XRE]
EnableProfileMigrator=0",,
Startup-2,1,起動時の挙動の制御,起動時のホームページの指定,-,ユーザが指定（既定）,-,-,,-,,-,,
Startup-2,2,,,,管理者が指定し、変更を許可,distribution.iniに設定を反映する,"[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""",,"[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""",,"[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""","[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""","[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）"""
Startup-2,3,,,,管理者が指定し、変更を禁止,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.startup.homepage"", ""(URL)"");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  .homepage-buttons {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"MCD:
lockPref(""browser.startup.homepage"", ""(URL)"");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  .homepage-buttons {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",○,"MCD:
lockPref(“browser.startup.homepage”, “(URL)”);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  .homepage-buttons {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,
Startup-3,1,起動時の挙動の制御,既定のブラウザでなかった場合の、起動時における既定のブラウザにするかどうかの確認の可否,-,確認する（既定）,MCDで設定を反映する,"lockPref(""browser.shell.checkDefaultBrowser"", true);",,"lockPref(""browser.shell.checkDefaultBrowser"", true);",,"lockPref(""browser.shell.checkDefaultBrowser"", true);",変更無し,"lockPref(""browser.shell.checkDefaultBrowser"", true);"
Startup-3,2,,,,確認しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #defaultBrowserBox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #defaultBrowserBox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #defaultBrowserBox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
Startup-4,1,起動時の挙動の制御,バージョンアップ後の初回起動時における、バージョンアップ完了案内のタブの表示の可否,-,許可する（既定）,-,-,,-,,-,変更無し,-
Startup-4,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");",,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");",,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");",変更無し,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");"
Startup-5,1,起動時の挙動の制御,初期状態のブックマーク,-,初期項目を使う（既定）,-,-,,-,,-,,
Startup-5,2,,,,空にする,"1. 空のbookmarks.htmlをdefault/profile/に設置する
2. MCDで設定を反映する","lockPref(""browser.places.smartBookmarksVersion"", -1);
defaultPref(""browser.places.importBookmarksHTML"", true);
lockPref(""browser.bookmarks.autoExportHTML"", false);
defaultPref(""browser.bookmarks.restore_default_bookmarks"", false);",,"lockPref(""browser.places.smartBookmarksVersion"", -1);
defaultPref(""browser.places.importBookmarksHTML"", true);
lockPref(""browser.bookmarks.autoExportHTML"", false);
defaultPref(""browser.bookmarks.restore_default_bookmarks"", false);",○,"Firefox 38以降ではbookmarks.htmlは使用しない（設置しても使われない）。

MCD:
lockPref(""browser.places.smartBookmarksVersion"", -1);
defaultPref(""browser.places.importBookmarksHTML"", true);
lockPref(""browser.bookmarks.autoExportHTML"", false);
defaultPref(""browser.bookmarks.restore_default_bookmarks"", false);",変更無し,"MCD:
lockPref(""browser.places.smartBookmarksVersion"", -1); // prevent to build default queries

bookmarks.html:
<!DOCTYPE NETSCAPE-Bookmark-file-1>
<!-- This is an automatically generated file.
     It will be read and overwritten.
     DO NOT EDIT! -->
<META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=UTF-8"">
<TITLE>ブックマーク</TITLE>
<H1>ブックマーク</H1>
<DL><p>
</DL><p>"
Startup-6,1,起動時の挙動の制御,「あなたの権利」の表示の可否,-,許可する（既定）,-,-,,-,,-,,
Startup-6,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);",,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);",,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);",変更無し,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);"
Startup-7,1,起動時の挙動の制御,60日以上Firefoxを使用しなかった場合の、次の起動時における設定のリセットの提案の可否,-,リセットを提案する（既定）,MCDで設定を反映する,"lockPref(""browser.disableResetPrompt"", false);",,"lockPref(""browser.disableResetPrompt"", false);",,"lockPref(""browser.disableResetPrompt"", false);","lockPref(""browser.disableResetPrompt"", false);",-
Startup-7,2,,,,リセットを提案しない,MCDで設定を反映する,"lockPref(""browser.disableResetPrompt"", true);",,"lockPref(""browser.disableResetPrompt"", true);",,"lockPref(""browser.disableResetPrompt"", true);","lockPref(""browser.disableResetPrompt"", true);",-
Startup-8,1,起動時の挙動の制御,UIの変更点を解説するツアーの表示の可否,-,ツアーを表示する（既定）,MCDで設定を反映する,"lockPref(""browser.uitour.enabled"", true);",,"lockPref(""browser.uitour.enabled"", true);",,"lockPref(""browser.uitour.enabled"", true);","lockPref(""browser.uitour.enabled"", true);",-
Startup-8,2,,,,ツアーを表示しない,MCDで設定を反映する,"lockPref(""browser.uitour.enabled"", false);
lockPref(""browser.uitour.pinnedTabUrl"", """");
lockPref(""browser.uitour.readerViewTrigger"", ""$^"");
lockPref(""browser.uitour.themeOrigin"", """");
lockPref(""browser.uitour.url"", """");",,"lockPref(""browser.uitour.enabled"", false);
lockPref(""browser.uitour.pinnedTabUrl"", """");
lockPref(""browser.uitour.readerViewTrigger"", ""$^"");
lockPref(""browser.uitour.themeOrigin"", """");
lockPref(""browser.uitour.url"", """");",○,"lockPref(""browser.uitour.enabled"", false);
lockPref(""browser.uitour.pinnedTabUrl"", """");
lockPref(""browser.uitour.themeOrigin"", """");
lockPref(""browser.uitour.url"", """");","lockPref(""browser.uitour.enabled"", false);",-
Startup-9（廃止）,1,起動時の挙動の制御,マルチプロセスモードのフィードバックを促すメッセージの表示の可否,-,表示する（既定）,-,Firefox 52で廃止,○,-,,-,,
Startup-9（廃止）,2,,,,表示しない,MCDで設定を反映する,Firefox 52で廃止,○,"lockPref(""browser.requestE10sFeedback"", false);
lockPref(""app.feedback.baseURL"", """");",,"lockPref(""browser.requestE10sFeedback"", false);
lockPref(""app.feedback.baseURL"", """");",,
Websearch-1,1,Web検索バーの挙動,検索エンジンの追加・削除の可否,-,許可する（既定）,-,-,,-,,-,,
Websearch-1,2,,,,禁止する,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addEngines,
  #removeEngineButton,
  #restoreDefaultSearchEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #PopupSearchAutoComplete [anonid=""add-engines""] {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
  .searchbar-search-button[addengines=""true""] {
    list-style-image: url(""chrome://browser/skin/search-indicator.png"") !important;
  }
  @media (min-resolution: 1.1dppx) {
    .searchbar-search-button[addengines=""true""] {
      list-style-image: url(""chrome://browser/skin/search-indicator-badge-add@2x.png"") !important;
    }
  }
}",,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addEngines,
  #removeEngineButton,
  #restoreDefaultSearchEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #PopupSearchAutoComplete [anonid=""add-engines""] {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
  .searchbar-search-button[addengines=""true""] {
    list-style-image: url(""chrome://browser/skin/search-indicator.png"") !important;
  }
  @media (min-resolution: 1.1dppx) {
    .searchbar-search-button[addengines=""true""] {
      list-style-image: url(""chrome://browser/skin/search-indicator-badge-add@2x.png"") !important;
    }
  }
}",○,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}"
Websearch-2,1,Web検索バーの挙動,初期状態で利用する検索エンジン,-,すべて使用する（既定）,-,-,,-,,-,,
Websearch-2,2,,,,限定する,"1. アドオン「Disable Search Engines」を導入する
2. MCDで設定を反映する
（Firefox 38以前では、fainstall.iniを編集する）","lockPref(""extensions.disablesearchengines@clear-code.com.disabled"", ""（無効化するエンジンの名前のカンマ区切りのリスト）"");
または
lockPref(""extensions.disablesearchengines@clear-code.com.enabled"", ""（有効化するエンジンの名前のカンマ区切りのリスト）"");",,"lockPref(""extensions.disablesearchengines@clear-code.com.disabled"", ""（無効化するエンジンの名前のカンマ区切りのリスト）"");
または
lockPref(""extensions.disablesearchengines@clear-code.com.enabled"", ""（有効化するエンジンの名前のカンマ区切りのリスト）"");",○,"[fainstall]
FxEnabledSearchPlugins=（ファイル名のスペース区切りのリスト）",変更無し,"[fainstall]
FxEnabledSearchPlugins=（ファイル名のスペース区切りのリスト）"
Location-1,1,ロケーションバーの挙動,ロケーションバーにおけるURLの「http://」の省略表示の可否,-,省略する（既定）,MCDで設定を反映する,"lockPref(""browser.urlbar.trimURLs"", true);",,"lockPref(""browser.urlbar.trimURLs"", true);",,"lockPref(""browser.urlbar.trimURLs"", true);",変更無し,"lockPref(""browser.urlbar.trimURLs"", true);"
Location-1,2,,,,省略しない,MCDで設定を反映する,"lockPref(""browser.urlbar.trimURLs"", false);",,"lockPref(""browser.urlbar.trimURLs"", false);",,"lockPref(""browser.urlbar.trimURLs"", false);",変更無し,"lockPref(""browser.urlbar.trimURLs"", false);"
Download-1,1,ファイルのダウンロード,ダウンロードマネージャの利用の可否,-,利用する（既定）,-,-,,-,,-,存在しない,"lockPref(""browser.download.manager.showWhenStarting"", true);
lockPref(""browser.download.manager.useWindow"", true);
lockPref(""browser.download.manager.closeWhenDone"", false);
lockPref(""browser.download.useDownloadDir"", true);"
Download-1,2,,,,利用しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","Firefox 31時点で機能が廃止されたためカスタマイズ不可能。
ダウンロードボタンを非表示にする設定は以下の通り。

MCD:
lockPref(""browser.download.animateNotifications"", false);
lockPref(""browser.download.useDownloadDir"", false);
lockPref(""browser.download.manager.addToRecentDocs"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #downloads-button,
  #wrapper-downloads-button,
  #downloads-animation-container,
  #downloads-animation-container *,
  #downloadsPanel {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""about:home""), url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#downloads,
  *|*[id=""downloads""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}",,"Firefox 31時点で機能が廃止されたためカスタマイズ不可能。
ダウンロードボタンを非表示にする設定は以下の通り。

MCD:
lockPref(""browser.download.animateNotifications"", false);
lockPref(""browser.download.useDownloadDir"", false);
lockPref(""browser.download.manager.addToRecentDocs"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #downloads-button,
  #wrapper-downloads-button,
  #downloads-animation-container,
  #downloads-animation-container *,
  #downloadsPanel {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""about:home""), url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#downloads,
  *|*[id=""downloads""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}",○,"Firefox 31時点で機能が廃止されたためカスタマイズ不可能。
ダウンロードボタンを非表示にする設定は以下の通り。

MCD:
lockPref(""browser.download.animateNotifications"", false);
lockPref(""browser.download.useDownloadDir"", false);
lockPref(""browser.download.manager.addToRecentDocs"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #downloads-button,
  #wrapper-downloads-button,
  #downloads-animation-container,
  #downloads-notification-anchor {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""about:home""), url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#downloads,
  *|*[id=""downloads""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}","ダウンロードマネージャは完全に廃止された。代わりに実装されたダウンロードボタンを非表示にする設定は以下の通り。

MCD:
lockPref(""browser.download.animateNotifications"", false);
lockPref(""browser.download.useDownloadDir"", false);
lockPref(""browser.download.manager.addToRecentDocs"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #downloads-button,
  #wrapper-downloads-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""about:home""), url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#downloads,
  *|*[id=""downloads""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}","MCD:
lockPref(""browser.download.manager.showWhenStarting"", false);
lockPref(""browser.download.manager.useWindow"", false);
lockPref(""browser.download.manager.openDelay"", -1);
lockPref(""browser.download.manager.closeWhenDone"", true);
lockPref(""browser.download.useDownloadDir"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #downloadsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
