設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
38,2,,,,保存せず、マスターパスワードも使用しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""signon.rememberSignons"", false);

globalChrome.css:
/* パスワード保存の設定UIを隠す */
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #passwordsGroup {
    Visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
/* パスワードマネージャのUIを隠す */
@-moz-document url-prefix(""chrome://passwordmgr/content/passwordManager.xul"") {
:root > * { display: none !important; }
  #signonsTree,
  #removeSignon,
  #removeAllSignons,
  #togglePasswords {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}
@-moz-document url-prefix(""chrome://passwordmgr/content/passwordManagerExceptions.xul"") {
:root > * { display: none !important; }
  #rejectsTree,
  #removeReject,
  #removeAllRejects {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}
/* マスターパスワード関連の設定UIを隠す */
@-moz-document url-prefix(""chrome://mozapps/content/preferences/changemp.xul"") {
  :root > * { display: none !important; }
  #pw1,
  #pw2,
  #pwmeter {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}","MCD:
lockPref(""signon.rememberSignons"", false);

globalChrome.css:
/* パスワード保存の設定UIを隠す */
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #passwordsGroup {
    Visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
/* パスワードマネージャのUIを隠す */
@-moz-document url-prefix(""chrome://passwordmgr/content/passwordManager.xul"") {
:root > * { display: none !important; }
  #signonsTree,
  #removeSignon,
  #removeAllSignons,
  #togglePasswords {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}
@-moz-document url-prefix(""chrome://passwordmgr/content/passwordManagerExceptions.xul"") {
:root > * { display: none !important; }
  #rejectsTree,
  #removeReject,
  #removeAllRejects {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}
/* マスターパスワード関連の設定UIを隠す */
@-moz-document url-prefix(""chrome://mozapps/content/preferences/changemp.xul"") {
  :root > * { display: none !important; }
  #pw1,
  #pw2,
  #pwmeter {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}","MCD:
lockPref(""signon.rememberSignons"", false);

globalChrome.css:
/* パスワード保存の設定UIを隠す */
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #savePasswordsBox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
/* パスワードマネージャのUIを隠す */
@-moz-document url-prefix(""chrome://passwordmgr/content/passwordManagerExceptions.xul"") {
:root > * { display: none !important; }
  #rejectsTree,
  #removeReject,
  #removeAllRejects {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}
/* マスターパスワード関連の設定UIを隠す */
@-moz-document url-prefix(""chrome://mozapps/content/preferences/changemp.xul"") {
  :root > * { display: none !important; }
  #pw1,
  #pw2,
  #pwmeter {
    display: none !important;
    -moz-user-focus: disabled !important;
  }
}"
39,1,プライバシー,Webアプリのオフラインキャッシュの利用の可否,○,確認の上で許可する（既定）,MCDで設定を反映する,"lockPref(""browser.offline-apps.notify"", true);",変更無し,"lockPref(""browser.offline-apps.notify"", true);"
39,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""offline-app=1"");",,
39,3,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.offline-apps.notify"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #offlineNotify,
  #offlineNotifyExceptions,
  #offlineAppsListLabel,
  #offlineAppsList,
  #offlineAppsListRemove {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.offline-apps.notify"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #offlineNotify,
  #offlineNotifyExceptions,
  #offlineAppsListLabel,
  #offlineAppsList,
  #offlineAppsListRemove {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
40,1,プライバシー,リンク先の先読みの可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""network.prefetch-next"", true);",変更無し,"lockPref(""network.prefetch-next"", true);"
40,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.prefetch-next"", false);",変更無し,"lockPref(""network.prefetch-next"", false);"
41,1,プライバシー,履歴の保存件数の制限,-,制限しない（既定）,-,-,,
41,2,,,,制限する,MCDで設定を反映する,"lockPref(""places.history.expiration.max_pages"", （保持する件数）);",変更無し,"lockPref(""places.history.expiration.max_pages"", （保持する件数）);"
42,1,プライバシー,セッション情報の保存の可否,-,許可する（既定）,-,-,廃止,"lockPref(""browser.sessionstore.enabled"", true);"
42,2,,,,禁止する,MCDで設定を反映する,"Firefox 3.5の時点で廃止。
以下の設定により可能な限り保存するセッション情報を最小化することはできるが、タブで現在開いているページの情報だけはセッション情報にどうしても保存されてしまう。
後は、復元操作への導線を消すくらいしかできない。

MCD:
lockPref(""browser.sessionstore.max_tabs_undo"", 0);
lockPref(""browser.sessionstore.max_windows_undo"", 0);
lockPref(""browser.sessionstore.max_resumed_crashes"", -1);
lockPref(""browser.sessionstore.max_serialize_back"", 0);
lockPref(""browser.sessionstore.max_serialize_forward"", 0);
lockPref(""browser.sessionstore.restore_on_demand"", false);
lockPref(""browser.sessionstore.resume_from_crash"", false);
lockPref(""browser.sessionstore.resume_session_once"", false);
lockPref(""browser.sessionstore.privacy_level"", 2);
lockPref(""browser.sessionstore.privacy_level_deferred"", 2);
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession"", ""#Browser\:RestoreLastSession"");
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession.disabled"", ""true"");
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession.oncommand"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #historyRestoreLastSession,
  #appMenuRestoreLastSession {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document
  url-prefix(""about:home""),
  url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#restorePreviousSessionSeparator,
  *|*#restorePreviousSession,
  *|*[id=""restorePreviousSessionSeparator""],
  *|*[id=""restorePreviousSession""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}","廃止（Firefox 3.5）
以下の設定により可能な限り保存するセッション情報を最小化することはできるが、タブで現在開いているページの情報だけはセッション情報にどうしても保存されてしまう。
後は、復元操作への導線を消すくらいしかできない。

MCD:
lockPref(""browser.sessionstore.max_tabs_undo"", 0);
lockPref(""browser.sessionstore.max_windows_undo"", 0);
lockPref(""browser.sessionstore.max_resumed_crashes"", 0);
lockPref(""browser.sessionstore.max_serialize_back"", 0);
lockPref(""browser.sessionstore.max_serialize_forward"", 0);
lockPref(""browser.sessionstore.restore_on_demand"", false);
lockPref(""browser.sessionstore.resume_from_crash"", false);
lockPref(""browser.sessionstore.resume_session_once"", false);
lockPref(""browser.sessionstore.privacy_level"", 2);
lockPref(""browser.sessionstore.privacy_level_deferred"", 2);
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession"", ""#Browser\:RestoreLastSession"");
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession.disabled"", ""true"");
lockPref(""extensions.uitextoverrider@clear-code.com.restoreLastSession.oncommand"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #historyRestoreLastSession,
  #appMenuRestoreLastSession {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""about:home""), url-prefix(""chrome://browser/content/abouthome/aboutHome.xhtml"") {
  *|*#restorePreviousSessionSeparator,
  *|*#restorePreviousSession,
  *|*[id=""restorePreviousSessionSeparator""],
  *|*[id=""restorePreviousSession""]
  {
    display: none !important;
    visibility: collapse !important;
  }
}","lockPref(""browser.sessionstore.enabled"", false);"
43,1,プライバシー,Cookieの保存の可否,○,永続的に許可する（既定）,MCDで設定を反映する,"lockPref(""network.cookie.cookieBehavior"", 0);
lockPref(""network.cookie.lifetimePolicy"", 0);",変更無し,"lockPref(""dom.storage.enabled"", true);"
43,2,,,,特定サイトのみ永続的に許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""cookie=1"");",,
43,3,,,,セッション中のみ許可する,MCDで設定を反映する,"lockPref(""network.cookie.cookieBehavior"", 0);
lockPref(""network.cookie.lifetimePolicy"", 2);",,
43,4,,,,禁止する,MCDで設定を反映する,"lockPref(""network.cookie.cookieBehavior"", 2);
lockPref(""network.cookie.lifetimePolicy"", 0);",変更無し,"lockPref(""dom.storage.enabled"", false);"
44,1,プライバシー,DOMストレージの利用の可否,○（Cookieとの一括制御）,許可する（既定）,MCDで設定を反映する,"lockPref(""dom.storage.enabled"", true);",変更無し,"lockPref(""dom.storage.enabled"", true);"
44,2,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.storage.enabled"", false);",変更無し,"lockPref(""dom.storage.enabled"", false);"
45,1,プライバシー,Indexed DBの利用の可否,○,確認の上で許可する（既定）,MCDで設定を反映する,"lockPref(""dom.indexedDB.enabled"", true);",変更無し,"lockPref(""dom.storage.enabled"", true);"
45,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""indexedDB=1"");",,
45,3,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.indexedDB.enabled"", false);",変更無し,"lockPref(""dom.storage.enabled"", false);"
46,1,プライバシー,位置情報の利用の可否,○,確認の上で許可する（既定）,MCDで設定を反映する,"lockPref(""geo.enabled"", true);",変更無し,"lockPref(""geo.enabled"", true);"
46,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""geo=1"");",,
46,3,,,,禁止する,MCDで設定を反映する,"lockPref(""geo.enabled"", false);",変更無し,"lockPref(""geo.enabled"", false);"
47,1,プライバシー,検索結果のローカライズ用地域コードの位置情報に基づく推定の可否,-,許可する（既定）,-,-,,
47,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.search.geoip.url"", """");",,
48,1,プライバシー,DNSの先読みの可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""network.dns.disablePrefetch"", false);",変更無し,"lockPref(""network.dns.disablePrefetch"", false);"
48,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.dns.disablePrefetch"", true);",変更無し,"lockPref(""network.dns.disablePrefetch"", true);"
49,1,プライバシー,検索エンジンの候補表示（Suggest）の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""browser.search.suggest.enabled"", true);",変更無し,"lockPref(""browser.search.suggest.enabled"", true);"
49,2,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.search.suggest.enabled"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #suggestionsInSearchFieldsCheckbox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #enableSuggest {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.search.suggest.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #enableSuggest {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}"
50,1,プライバシー,利用状況の統計の保存および送信の可否,-,許可する（既定）,-,-,変更無し,
50,2,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
if (typeof getPref(""toolkit.telemetry.prompted"") == ""boolean"")
  clearPref(""toolkit.telemetry.prompted"");
lockPref(""toolkit.telemetry.prompted"", 2);
lockPref(""toolkit.telemetry.rejected"", true);
lockPref(""toolkit.telemetry.enabled"", false);
lockPref(""toolkit.telemetry.infoURL"", """");
lockPref(""toolkit.telemetry.server"", """");
lockPref(""datareporting.healthreport.service.enabled"", false);
lockPref(""datareporting.healthreport.about.reportUrl"", """");
lockPref(""datareporting.healthreport.documentServerURI"", """");
lockPref(""datareporting.healthreport.infoURL"", """");
lockPref(""datareporting.healthreport.uploadEnabled"", false);
lockPref(""datareporting.policy.dataSubmissionEnabled"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #dataChoicesTab,
  #dataChoicesPanel {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"if (typeof getPref(""toolkit.telemetry.prompted"") == ""boolean"")
  clearPref(""toolkit.telemetry.prompted"");
lockPref(""toolkit.telemetry.prompted"", 2);
lockPref(""toolkit.telemetry.rejected"", true);
lockPref(""toolkit.telemetry.enabled"", false);
lockPref(""datareporting.healthreport.service.enabled"", false);
lockPref(""datareporting.healthreport.uploadEnabled"", false);
lockPref(""datareporting.policy.dataSubmissionEnabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #dataChoicesTab,
  #dataChoicesPanel {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
51,1,プライバシー,エラーレポートの送信の可否,-,許可する（既定）,-,-,,
42,2,,,,禁止する,MCDで設定を反映する,"lockPref(""security.ssl.errorReporting.automatic"", false);
lockPref(""security.ssl.errorReporting.enabled"", false);
lockPref(""security.ssl.errorReporting.url"", """");",,
52,1,プライバシー,「Do Not Track」ヘッダの送出の可否,-,許可で送出する,MCDで設定を反映する,"pref(""privacy.donottrackheader.enabled"", false);",変更無し,"pref(""privacy.donottrackheader.enabled"", false);"
52,2,,,,禁止で送出する,MCDで設定を反映する,"pref(""privacy.donottrackheader.enabled"", true);",変更無し,"pref(""privacy.donottrackheader.enabled"", true);"
52,3,,,,一切送出しない（既定）,-,-,,
52,4,,,,一切送出しないことを強制,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""privacy.donottrackheader.enabled"", false);
lockPref(""privacy.donottrackheader.value"", 1);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #trackingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""privacy.donottrackheader.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #trackingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
53,1,プライバシー,クラッシュレポートの送信の可否,-,許可する（既定）,-,-,,
53,2,,,,禁止する,fainstall.iniを編集する,"[fainstall]
AppEnableCrashReport=false",変更無し,"[fainstall]
AppEnableCrashReport=false"
54,1,プライバシー,Firefox Syncの利用の可否,-,許可する（既定）,-,-,,
54,2,,,,禁止する,アドオン「Disable Sync」を導入する,-,変更無し,-
55,1,プライバシー,ソーシャルAPIの利用の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""social.remote-install.enabled"", true);
lockPref(""social.toast-notifications.enabled"", true);","lockPref(""social.remote-install.enabled"", true);
lockPref(""social.toast-notifications.enabled"", true);",-
55,2,,,,禁止する,MCDで設定を反映する,"lockPref(""social.remote-install.enabled"", false);
lockPref(""social.toast-notifications.enabled"", false);","lockPref(""social.remote-install.enabled"", false);
lockPref(""social.toast-notifications.enabled"", false);",-
56,1,プライバシー,Firefoxアカウントの利用の可否,-,許可する（既定）,-,-,,-
56,2,,,,禁止する,MCDで設定を反映する,"lockPref(""identity.fxaccounts.auth.uri"", """");
lockPref(""identity.fxaccounts.remote.force_auth.uri"","""");
lockPref(""identity.fxaccounts.remote.signin.uri"","""");
lockPref(""identity.fxaccounts.remote.signup.uri"","""");
lockPref(""identity.fxaccounts.settings.uri"","""");
lockPref(""identity.fxaccounts.remote.oauth.uri"","""");
lockPref(""identity.fxaccounts.remote.profile.uri"","""");","lockPref(""identity.fxaccounts.auth.uri"", """");
lockPref(""identity.fxaccounts.remote.force_auth.uri"","""");
lockPref(""identity.fxaccounts.remote.signin.uri"","""");
lockPref(""identity.fxaccounts.remote.signup.uri"","""");
lockPref(""identity.fxaccounts.settings.uri"","""");",-
57,1,プライバシー,ゲームパッドAPIの利用の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""dom.gamepad.enabled"",true);","lockPref(""dom.gamepad.enabled"",true);",-
57,2,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.gamepad.enabled"",false);","lockPref(""dom.gamepad.enabled"",false);",-
58,1,プライバシー,Firefox Helloの利用の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""loop.enabled"",true);","lockPref(""loop.enabled"",true);",-
58,2,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""loop.enabled"",false);
lockPref(""loop.server"", """");
lockPref(""loop.feedback.baseUrl"", """");
lockPref(""loop.gettingStarted.url"", """");
lockPref(""loop.learnMoreUrl"", """");
lockPref(""loop.legal.ToS_url"", """");
lockPref(""loop.legal.privacy_url"", """");
lockPref(""loop.oauth.google.scope"", """");
lockPref(""loop.support_url"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #loop-button,
  #wrapper-loop-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}","lockPref(""loop.enabled"",false);",-
59,1,プライバシー,「忘れる」機能の利用の可否,-,許可する（既定）,-,-,,
59,2,,,,禁止する,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #panic-button,
  #wrapper-panic-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",,
60,1,プライバシー,Pocket（リーディングリスト機能）の利用の可否,-,許可する,-,-,,
60,2,,,,禁止する,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.readinglist.enabled"", false);
lockPref(""browser.readinglist.sidebarEverOpened"", false);
lockPref(""readinglist.scheduler.enabled"", false);
lockPref(""readinglist.server"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #pocket-button,
  #wrapper-pocket-button {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",,
61,1,プライバシー,その他、プライバシー情報に関わる一切の機能の利用の可否,-,許可する（既定）,MCDで設定を反映する,-,,
61,2,,,,禁止する,MCDで設定を反映する,"// トラッキングプロテクション機能の通信を無効化する
lockPref(""browser.trackingprotection.gethashURL"", """");
lockPref(""browser.trackingprotection.updateURL"", """");
// about:homeの「Marketplace」ボタンからの遷移先URL
lockPref(""browser.apps.URL"", """");
// Firefox Developer Editionへの誘導用URL
lockPref(""devtools.devedition.promo.url"", """");
// ツールバーカスタマイズにおける、「その他のテーマを入手」の遷移先URL。
lockPref(""lightweightThemes.getMoreURL"", """");
// ツールバーカスタマイズにおける、テーマの「おすすめ」の取得用URL。
lockPref(""lightweightThemes.recommendedThemes"", """");
// WebIDEの追加コンポーネント「Tools Adapters Add-on」の取得用URL。
lockPref(""devtools.webide.adaptersAddonURL"", """");
// プッシュ通知受信用のエンドポイントURL。
lockPref(""services.push.serverURL"", """");",,
62,1,起動時の挙動の制御,初回起動時の設定移行ウィザード,-,表示する（既定）,-,-,,
62,2,,,,表示しない,override.iniに設定を反映する,"[XRE]
EnableProfileMigrator=0",,
63,1,起動時の挙動の制御,起動時のホームページの指定,-,ユーザが指定（既定）,-,-,,
63,2,,,,管理者が指定,distribution.iniに設定を反映する,"[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""","[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）""
browser.startup.homepage_reset=""（URL）""","[Global]
id=（導入先ID）
version=（バージョン）
about=Mozilla Firefox

[LocalizablePreferences]
browser.startup.homepage=""（URL）"""
64,1,起動時の挙動の制御,既定のブラウザでなかった場合の、起動時における既定のブラウザにするかどうかの確認の可否,-,確認する（既定）,MCDで設定を反映する,"lockPref(""browser.shell.checkDefaultBrowser"", true);",変更無し,"lockPref(""browser.shell.checkDefaultBrowser"", true);"
64,2,,,,確認しない,MCDで設定を反映する,"MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #defaultBrowserBox {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.shell.checkDefaultBrowser"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #systemDefaultsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
65,1,起動時の挙動の制御,バージョンアップ語の初回起動時における、バージョンアップ完了案内のタブの表示の可否,-,許可する（既定）,-,-,変更無し,-
65,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");",変更無し,"lockPref(""browser.startup.homepage_override.mstone"", ""ignore"");"
66,1,起動時の挙動の制御,初期状態のブックマーク,-,書記項目を使う（既定）,-,-,,
66,2,,,,空にする,"1. 空のbookmarks.htmlをdefault/profile/に設置する
2. MCDで設定を反映する","Firefox 38以降ではbookmarks.htmlは使用しない（設置しても使われない）。

MCD:
lockPref(""browser.places.smartBookmarksVersion"", -1);
lockPref(""browser.places.importBookmarksHTML"", false);
lockPref(""browser.bookmarks.autoExportHTML"", false);
lockPref(""browser.bookmarks.restore_default_bookmarks"", false);",変更無し,"MCD:
lockPref(""browser.places.smartBookmarksVersion"", -1); // prevent to build default queries

bookmarks.html:
<!DOCTYPE NETSCAPE-Bookmark-file-1>
<!-- This is an automatically generated file.
     It will be read and overwritten.
     DO NOT EDIT! -->
<META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=UTF-8"">
<TITLE>ブックマーク</TITLE>
<H1>ブックマーク</H1>
<DL><p>
</DL><p>"
67,1,起動時の挙動の制御,「あなたの権利」の表示の可否,-,許可する（既定）,-,-,,
67,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);",変更無し,"lockPref(""browser.rights.version"", 0);
lockPref(""browser.rights.0.shown"", true);
lockPref(""browser.rights.3.shown"", true);
lockPref(""browser.rights.override"", true);
lockPref(""browser.EULA.override"", true);"
68,1,起動時の挙動の制御,60日以上Firefoxを使用しなかった場合の、次の起動時における設定のリセットの提案の可否,-,リセットを提案する（既定）,MCDで設定を反映する,"lockPref(""browser.disableResetPrompt"", false);","lockPref(""browser.disableResetPrompt"", false);",-
68,2,,,,リセットを提案しない,MCDで設定を反映する,"lockPref(""browser.disableResetPrompt"", true);","lockPref(""browser.disableResetPrompt"", true);",-
69,1,起動時の挙動の制御,UIの変更点を解説するツアーの表示の可否,-,ツアーを表示する（既定）,MCDで設定を反映する,"lockPref(""browser.uitour.enabled"", true);","lockPref(""browser.uitour.enabled"", true);",-
69,2,,,,ツアーを表示しない,MCDで設定を反映する,"lockPref(""browser.uitour.enabled"", false);
lockPref(""browser.uitour.pinnedTabUrl"", """");
lockPref(""browser.uitour.themeOrigin"", """");
lockPref(""browser.uitour.url"", """");","lockPref(""browser.uitour.enabled"", false);",-
70,1,起動時の挙動の制御,マルチプロセスモードのフィードバックを促すメッセージの表示の可否,-,表示する（既定）,-,-,,
70,2,,,,表示しない,MCDで設定を反映する,"lockPref(""browser.requestE10sFeedback"", false);
lockPref(""app.feedback.baseURL"", """");",,
71,1,Web検索バーの挙動,検索エンジンの追加の可否,-,許可する（既定）,-,-,,
71,2,,,,禁止する,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"@-moz-document url-prefix(""chrome://browser/content/search/engineManager.xul"") {
  #addEngines {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}"
72,1,Web検索バーの挙動,初期状態で利用する検索エンジン,-,すべて使用する（既定）,-,-,,
72,2,,,,限定する,fainstall.iniを編集する,"[fainstall]
FxEnabledSearchPlugins=（ファイル名のスペース区切りのリスト）",変更無し,"[fainstall]
FxEnabledSearchPlugins=（ファイル名のスペース区切りのリスト）"
73,1,ロケーションバーの挙動,ロケーションバーにおけるURLの「http://」の省略表示の可否,-,省略する（既定）,MCDで設定を反映する,"lockPref(""browser.urlbar.trimURLs"", true);",変更無し,"lockPref(""browser.urlbar.trimURLs"", true);"
73,2,,,,省略しない,MCDで設定を反映する,"lockPref(""browser.urlbar.trimURLs"", false);",変更無し,"lockPref(""browser.urlbar.trimURLs"", false);"
74,1,ファイルのダウンロード,ダウンロードマネージャの利用の可否,-,利用する（既定）,-,-,存在しない,"lockPref(""browser.download.manager.showWhenStarting"", true);
lockPref(""browser.download.manager.useWindow"", true);
lockPref(""browser.download.manager.closeWhenDone"", false);
lockPref(""browser.download.useDownloadDir"", true);"
